#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.571,3.410)		
1	20510.330	12083.232	0.000	
2	121188.136	11530.699	0.000	
3	221798.281	10903.173	0.000	
4	322510.069	10432.249	0.000	
5	423180.593	9912.450	0.000	
6	523861.736	9530.910	0.000	
7	624783.785	9118.499	0.000	
8	725178.511	8683.299	0.000	
9	826026.225	8314.499	0.000	
10	927062.051	7990.596	0.000	
11	1027215.569	7563.845	0.000	
12	1128990.799	7296.250	0.000	
13	1229457.433	6996.484	0.000	
14	1330391.011	6668.576	0.000	
15	1431349.165	6500.466	0.000	
16	1531905.912	6145.590	0.000	
17	1631651.650	5954.423	0.000	
18	1733092.525	5720.881	0.000	
19	1833114.971	5515.187	0.000	
20	1934410.818	5345.756	0.000	
21	2035286.142	5092.876	0.000	
22	2135504.285	4938.030	0.000	
23	2236483.071	4749.129	0.000	
24	2338109.631	4526.503	0.000	
25	2438552.296	4390.789	0.000	
26	2539351.465	4192.913	0.000	
27	2640401.551	4096.519	0.000	
28	2739775.009	3943.619	0.000	
29	2840984.081	3762.629	0.000	
30	2942138.843	3649.675	0.000	
31	3043140.991	3540.968	0.000	
32	3143894.042	3422.677	0.000	
33	3244303.332	3268.635	0.000	
34	3344276.020	3185.695	0.000	
35	3445765.743	3055.706	0.000	
36	3546697.501	2945.350	0.000	
37	3646982.091	2862.728	0.000	
38	3748664.781	2746.662	0.000	
39	3849583.796	2653.802	0.000	
40	3949653.573	2566.973	0.000	
41	4051007.370	2474.359	0.000	
42	4151400.277	2403.356	0.000	
43	4253021.982	2288.823	0.000	
44	4353573.571	2224.434	0.000	
45	4452974.942	2145.084	0.000	
46	4553498.314	2083.526	0.000	
47	4655143.685	1989.868	0.000	
48	4755508.375	1941.770	0.000	
49	4856943.485	1867.108	0.000	
50	4956995.968	1803.861	0.000	
51	5058068.507	1721.672	0.000	
52	5157658.901	1722.347	0.000	
53	5260746.670	1627.153	0.000	
54	5359752.399	1558.011	0.000	
55	5462255.503	1524.556	0.000	
56	5563130.826	1459.768	0.000	
57	5662307.373	1397.463	0.000	
58	5762360.160	1361.725	0.000	
59	5863289.187	1330.484	0.000	
60	5965094.454	1291.905	0.000	
61	6065062.590	1238.140	0.000	
62	6165861.455	1180.084	0.000	
63	6267491.050	1169.817	0.000	
64	6367171.252	1101.804	0.000	
65	6467637.887	1091.124	0.000	
66	6568890.952	1045.412	0.000	
67	6670930.450	1013.776	0.000	
68	6770889.484	1000.279	0.000	
69	6871591.866	952.712	0.000	
70	6973037.595	923.675	0.000	
71	7072296.668	915.109	0.000	
72	7175207.855	878.098	0.000	
73	7275890.515	825.639	0.000	
74	7374282.754	822.608	0.000	
75	7476347.738	769.415	0.000	
76	7576081.644	765.635	0.000	
77	7676476.370	726.574	0.000	
78	7777531.918	712.024	0.000	
79	7879248.287	682.457	0.000	
80	7981625.477	666.528	0.000	
81	8081531.414	641.218	0.000	
82	8182058.730	626.237	0.000	
83	8283207.424	608.116	0.000	
84	8381787.775	571.780	0.000	
85	8484159.807	550.334	0.000	
86	8583925.267	545.835	0.000	
87	8684273.876	524.337	0.000	
88	8785205.634	526.199	0.000	
89	8886720.540	483.329	0.000	
90	8988818.595	486.594	0.000	
91	9088178.400	457.457	0.000	
92	9188084.337	437.982	0.000	
93	9288536.408	429.677	0.000	
94	9389534.612	406.656	0.000	
95	9491078.949	413.602	0.000	
96	9593169.419	377.907	0.000	
97	9692376.003	364.240	0.000	
98	9795540.534	381.029	0.000	
99	9895785.378	353.704	0.000	
100	9996540.552	345.338	0.000	
101	10097806.058	327.895	0.000	
102	10196063.887	315.011	0.000	
103	10298332.457	308.794	0.000	
104	10397558.763	302.500	0.000	
105	10500830.397	295.213	0.000	
106	10601025.179	272.298	0.000	
107	10701695.702	265.928	0.000	
108	10802841.969	249.177	0.000	
109	10900826.429	271.491	0.000	
110	11002907.189	252.474	0.000	
111	11105463.693	241.757	0.000	
112	11204808.024	235.162	0.000	
113	11304594.722	224.743	0.000	
114	11404823.789	209.686	0.000	
115	11505495.223	198.061	0.000	
116	11606609.025	206.081	0.000	
117	11708165.195	195.916	0.000	
118	11810163.732	204.006	0.000	
119	11908802.641	189.117	0.000	
120	12011669.530	167.982	0.000	
121	12111144.630	193.760	0.000	
122	12211029.936	180.108	0.000	
123	12311325.448	152.102	0.000	
124	12412031.167	152.357	0.000	
125	12513147.093	151.674	0.000	
126	12614673.226	155.361	0.000	
127	12716609.565	139.392	0.000	
128	12818956.110	131.631	0.000	
