#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.543,3.415)		
1	39171.510	8453.180	0.000	
2	231450.316	7909.466	0.000	
3	423599.902	7414.795	0.000	
4	615943.608	6992.939	0.000	
5	808208.507	6577.711	0.000	
6	1000493.686	6233.975	0.000	
7	1193238.958	5907.657	0.000	
8	1384977.127	5527.379	0.000	
9	1577580.431	5203.257	0.000	
10	1770543.000	4923.384	0.000	
11	1961820.498	4616.665	0.000	
12	2156195.211	4368.608	0.000	
13	2348070.713	4115.767	0.000	
14	2540838.004	3884.981	0.000	
15	2733652.231	3650.445	0.000	
16	2925699.832	3432.402	0.000	
17	3116198.536	3254.232	0.000	
18	3309934.684	3076.991	0.000	
19	3500961.856	2897.852	0.000	
20	3694421.022	2725.531	0.000	
21	3887077.057	2561.263	0.000	
22	4078477.980	2444.290	0.000	
23	4271331.611	2285.384	0.000	
24	4465422.388	2151.379	0.000	
25	4657252.113	2033.535	0.000	
26	4849762.703	1918.890	0.000	
27	5042752.506	1806.976	0.000	
28	5232540.212	1709.250	0.000	
29	5425833.653	1605.862	0.000	
30	5619023.370	1506.294	0.000	
31	5811921.619	1419.455	0.000	
32	6004344.131	1354.549	0.000	
33	6196110.115	1277.390	0.000	
34	6387042.255	1196.762	0.000	
35	6580871.696	1119.327	0.000	
36	6773635.510	1069.671	0.000	
37	6965163.336	1003.772	0.000	
38	7159361.314	944.035	0.000	
39	7352100.790	890.159	0.000	
40	7543218.358	848.455	0.000	
41	7736788.201	789.585	0.000	
42	7928522.894	751.978	0.000	
43	8122604.400	704.671	0.000	
44	8314642.151	662.218	0.000	
45	8504483.167	636.598	0.000	
46	8696467.028	604.815	0.000	
47	8890593.732	563.884	0.000	
48	9082274.535	517.195	0.000	
49	9275999.674	493.792	0.000	
50	9467084.212	468.369	0.000	
51	9660116.895	454.640	0.000	
52	9850318.916	423.930	0.000	
53	10047200.374	391.477	0.000	
54	10236285.775	364.122	0.000	
55	10432050.613	343.751	0.000	
56	10624706.648	322.829	0.000	
57	10814118.284	310.058	0.000	
58	11005203.402	302.886	0.000	
59	11197962.001	273.954	0.000	
60	11392394.081	266.055	0.000	
61	11583317.529	249.050	0.000	
62	11775827.540	233.676	0.000	
63	11969924.112	219.198	0.000	
64	12160297.653	207.173	0.000	
65	12352173.154	201.101	0.000	
66	12545550.617	177.777	0.000	
67	12740430.040	194.628	0.000	
68	12931336.104	171.839	0.000	
69	13123661.847	148.738	0.000	
70	13317407.266	152.264	0.000	
71	13506976.516	145.213	0.000	
72	13703520.728	144.974	0.000	
73	13895808.806	143.594	0.000	
74	14083722.538	124.316	0.000	
75	14278650.636	121.859	0.000	
76	14469126.741	101.786	0.000	
77	14660864.910	124.828	0.000	
78	14853865.144	121.940	0.000	
79	15048127.442	95.461	0.000	
80	15243651.804	127.061	0.000	
81	15434456.463	82.456	0.000	
82	15626447.857	116.845	0.000	
83	15819625.985	92.160	0.000	
84	16007898.982	97.992	0.000	
85	16203413.494	64.581	0.000	
86	16393949.863	85.616	0.000	
87	16585599.954	87.467	0.000	
88	16778363.768	78.018	0.000	
89	16972241.305	59.629	0.000	
90	17167232.564	84.168	0.000	
91	17356994.195	45.575	0.000	
92	17547798.854	62.689	0.000	
93	17739646.541	57.330	0.000	
94	17932537.257	68.099	0.000	
95	18126471.001	63.509	0.000	
96	18321447.774	81.828	0.000	
97	18510916.777	54.273	0.000	
98	18707944.839	46.623	0.000	
99	18899396.755	45.637	0.000	
100	19091823.323	85.994	0.000	
101	19285224.543	57.460	0.000	
102	19472881.574	59.078	0.000	
103	19668198.490	54.147	0.000	
104	19857705.158	99.365	0.000	
105	20054937.769	106.038	0.000	
106	20246294.074	51.497	0.000	
107	20438558.973	62.767	0.000	
108	20631732.466	118.606	0.000	
109	20818867.403	44.862	0.000	
110	21013825.633	58.306	0.000	
111	21209692.456	57.326	0.000	
112	21399424.535	40.233	0.000	
113	21590001.466	32.565	0.000	
114	21781423.250	94.846	0.000	
115	21973689.887	35.507	0.000	
116	22166801.377	105.211	0.000	
117	22360757.720	54.190	0.000	
118	22555558.916	50.038	0.000	
119	22743943.750	141.967	0.000	
120	22940403.361	27.046	0.000	
121	23130385.186	67.584	0.000	
122	23321150.442	35.892	0.000	
123	23512699.128	39.351	0.000	
124	23705031.244	81.010	0.000	
125	23898146.791	68.742	0.000	
126	24092045.767	253.761	0.000	
127	24286728.174	38.022	0.000	
128	24482194.011	32.057	0.000	
