#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.570,3.408)		
1	9209.284	12559.335	0.000	
2	54414.333	11997.459	0.000	
3	99589.002	11500.246	0.000	
4	144809.310	11094.216	0.000	
5	190011.089	10582.909	0.000	
6	235217.637	10140.573	0.000	
7	280532.353	9724.173	0.000	
8	325610.298	9365.964	0.000	
9	370891.637	8979.121	0.000	
10	416257.440	8653.435	0.000	
11	461227.081	8298.624	0.000	
12	506924.881	7951.546	0.000	
13	552035.113	7657.697	0.000	
14	597355.006	7370.654	0.000	
15	642685.933	7134.825	0.000	
16	687836.626	6801.338	0.000	
17	732623.171	6573.304	0.000	
18	778170.843	6269.932	0.000	
19	823081.631	6096.553	0.000	
20	868564.185	5852.024	0.000	
21	913857.922	5572.679	0.000	
22	958856.579	5424.151	0.000	
23	1004196.771	5267.412	0.000	
24	1049827.818	5051.608	0.000	
25	1094927.287	4827.891	0.000	
26	1140186.829	4653.279	0.000	
27	1185559.035	4537.449	0.000	
28	1230178.423	4322.347	0.000	
29	1275622.014	4170.725	0.000	
30	1321041.220	4049.557	0.000	
31	1366391.902	3909.058	0.000	
32	1411630.737	3793.231	0.000	
33	1456715.220	3627.511	0.000	
34	1501603.667	3492.665	0.000	
35	1547173.273	3396.285	0.000	
36	1592492.348	3285.758	0.000	
37	1637520.841	3168.586	0.000	
38	1683177.090	3088.614	0.000	
39	1728490.444	2964.125	0.000	
40	1773422.484	2851.379	0.000	
41	1818931.059	2784.924	0.000	
42	1864008.186	2671.419	0.000	
43	1909637.053	2613.514	0.000	
44	1954785.430	2515.483	0.000	
45	1999417.351	2448.473	0.000	
46	2044553.058	2370.302	0.000	
47	2090192.551	2292.489	0.000	
48	2135257.009	2220.440	0.000	
49	2180802.094	2155.179	0.000	
50	2225726.369	2097.557	0.000	
51	2271108.656	2017.190	0.000	
52	2315825.449	1973.581	0.000	
53	2362112.590	1914.226	0.000	
54	2406566.864	1861.393	0.000	
55	2452591.485	1798.927	0.000	
56	2497885.222	1747.513	0.000	
57	2542416.195	1681.266	0.000	
58	2587340.606	1634.659	0.000	
59	2632658.456	1603.975	0.000	
60	2678369.743	1561.727	0.000	
61	2723256.146	1500.682	0.000	
62	2768515.551	1478.312	0.000	
63	2814147.961	1441.710	0.000	
64	2858905.079	1390.453	0.000	
65	2904015.311	1353.088	0.000	
66	2949478.656	1325.887	0.000	
67	2995295.114	1282.766	0.000	
68	3040177.430	1234.671	0.000	
69	3085393.514	1216.558	0.000	
70	3130943.367	1185.071	0.000	
71	3175511.395	1161.913	0.000	
72	3221719.248	1122.834	0.000	
73	3266926.477	1101.306	0.000	
74	3311105.291	1067.292	0.000	
75	3356933.193	1045.278	0.000	
76	3401714.424	1018.868	0.000	
77	3446792.369	1009.060	0.000	
78	3492167.027	964.554	0.000	
79	3537838.398	941.690	0.000	
80	3583806.483	918.778	0.000	
81	3628664.958	901.270	0.000	
82	3673802.436	877.304	0.000	
83	3719218.918	869.464	0.000	
84	3763482.195	854.025	0.000	
85	3809447.964	825.109	0.000	
86	3854243.364	802.669	0.000	
87	3899300.601	781.521	0.000	
88	3944619.677	778.237	0.000	
89	3990200.590	765.444	0.000	
90	4036043.341	744.990	0.000	
91	4080656.599	723.381	0.000	
92	4125515.074	713.866	0.000	
93	4170618.766	698.669	0.000	
94	4215967.677	668.981	0.000	
95	4261561.805	655.527	0.000	
96	4307401.150	646.580	0.000	
97	4351945.610	630.940	0.000	
98	4398267.217	615.612	0.000	
99	4443277.863	604.298	0.000	
100	4488517.652	598.660	0.000	
101	4533986.582	584.623	0.000	
102	4578105.045	572.924	0.000	
103	4624024.359	567.946	0.000	
104	4668577.674	553.549	0.000	
105	4714947.371	535.095	0.000	
106	4759935.539	521.793	0.000	
107	4805137.318	532.909	0.000	
108	4850552.710	511.788	0.000	
109	4894548.428	509.781	0.000	
110	4940383.414	502.909	0.000	
111	4986432.012	487.409	0.000	
112	5031038.321	478.351	0.000	
113	5075843.257	477.072	0.000	
114	5120846.819	460.911	0.000	
115	5166049.008	445.121	0.000	
116	5211449.822	440.186	0.000	
117	5257049.263	429.283	0.000	
118	5302847.330	423.947	0.000	
119	5347136.901	417.857	0.000	
120	5393324.864	406.697	0.000	
121	5437989.889	402.192	0.000	
122	5482839.101	396.325	0.000	
123	5527872.498	393.657	0.000	
124	5573090.080	389.363	0.000	
125	5618491.848	371.953	0.000	
126	5664077.802	381.837	0.000	
127	5709847.942	362.316	0.000	
128	5755802.267	352.335	0.000	
