#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.539,3.415)		
1	26122.863	10705.512	0.000	
2	154350.569	10073.339	0.000	
3	282492.101	9522.966	0.000	
4	410763.088	9037.721	0.000	
5	538981.520	8591.648	0.000	
6	667213.477	8214.157	0.000	
7	795752.262	7768.703	0.000	
8	923619.426	7357.366	0.000	
9	1052063.535	7063.776	0.000	
10	1180747.232	6739.855	0.000	
11	1308307.183	6406.541	0.000	
12	1437932.617	6110.784	0.000	
13	1565891.366	5810.142	0.000	
14	1694444.835	5570.420	0.000	
15	1823029.605	5267.288	0.000	
16	1951103.125	5036.745	0.000	
17	2078143.709	4817.390	0.000	
18	2207343.294	4577.748	0.000	
19	2334736.306	4389.723	0.000	
20	2463751.176	4181.488	0.000	
21	2592230.450	3977.274	0.000	
22	2719872.710	3828.280	0.000	
23	2848483.758	3629.716	0.000	
24	2977919.840	3480.004	0.000	
25	3105848.061	3321.874	0.000	
26	3234230.341	3177.902	0.000	
27	3362932.200	3033.593	0.000	
28	3489498.631	2905.259	0.000	
29	3618402.982	2776.951	0.000	
30	3747238.161	2659.509	0.000	
31	3875878.964	2549.866	0.000	
32	4004202.505	2429.105	0.000	
33	4132088.218	2347.779	0.000	
34	4259417.855	2248.604	0.000	
35	4388679.656	2155.311	0.000	
36	4517230.806	2045.136	0.000	
37	4644957.696	1957.640	0.000	
38	4774465.268	1887.230	0.000	
39	4903000.188	1782.289	0.000	
40	5030453.483	1717.619	0.000	
41	5159542.162	1666.199	0.000	
42	5287407.008	1599.391	0.000	
43	5416836.907	1495.734	0.000	
44	5544903.857	1447.744	0.000	
45	5671505.840	1380.383	0.000	
46	5799536.852	1331.609	0.000	
47	5928996.893	1278.873	0.000	
48	6056825.800	1232.476	0.000	
49	6186018.043	1183.926	0.000	
50	6313449.311	1116.256	0.000	
51	6442179.767	1069.810	0.000	
52	6569022.498	1058.866	0.000	
53	6700319.640	994.147	0.000	
54	6826417.715	970.922	0.000	
55	6956970.202	905.798	0.000	
56	7085449.476	873.017	0.000	
57	7211765.112	838.981	0.000	
58	7339196.767	803.381	0.000	
59	7467744.440	774.894	0.000	
60	7597408.131	747.374	0.000	
61	7724731.970	704.443	0.000	
62	7853113.863	669.394	0.000	
63	7982553.810	659.411	0.000	
64	8109510.925	641.566	0.000	
65	8237469.674	610.349	0.000	
66	8366430.057	583.266	0.000	
67	8496392.074	561.686	0.000	
68	8623704.321	541.182	0.000	
69	8751963.328	521.085	0.000	
70	8881169.096	495.900	0.000	
71	9007589.842	490.645	0.000	
72	9138662.081	456.808	0.000	
73	9266895.970	436.225	0.000	
74	9392212.678	415.765	0.000	
75	9522207.155	398.818	0.000	
76	9649232.669	375.420	0.000	
77	9777099.833	366.836	0.000	
78	9905808.649	356.694	0.000	
79	10035359.115	334.985	0.000	
80	10165751.232	332.421	0.000	
81	10292995.853	325.182	0.000	
82	10421031.888	306.020	0.000	
83	10549859.338	303.698	0.000	
84	10675415.634	282.055	0.000	
85	10805801.182	260.632	0.000	
86	10932866.884	285.248	0.000	
87	11060675.311	236.616	0.000	
88	11189226.462	233.807	0.000	
89	11318520.336	211.080	0.000	
90	11448556.935	217.105	0.000	
91	11575105.977	207.831	0.000	
92	11702350.598	185.526	0.000	
93	11830290.798	169.441	0.000	
94	11958926.578	193.182	0.000	
95	12088257.936	166.705	0.000	
96	12218284.874	171.780	0.000	
97	12344638.768	164.147	0.000	
98	12476033.678	150.294	0.000	
99	12603709.944	174.467	0.000	
100	12732036.191	167.832	0.000	
101	12861012.418	150.342	0.000	
102	12986157.936	149.662	0.000	
103	13116411.710	138.675	0.000	
104	13242790.721	148.653	0.000	
105	13374322.042	126.323	0.000	
106	13501934.547	113.063	0.000	
107	13630152.979	121.195	0.000	
108	13758977.338	114.210	0.000	
109	13883774.679	119.805	0.000	
110	14013789.251	108.799	0.000	
111	14144409.750	89.532	0.000	
112	14270939.084	102.600	0.000	
113	14398031.837	95.520	0.000	
114	14525688.009	122.431	0.000	
115	14653907.600	104.023	0.000	
116	14782690.611	82.510	0.000	
117	14912037.040	91.843	0.000	
118	15041946.889	80.798	0.000	
119	15167577.766	68.067	0.000	
120	15298593.586	59.881	0.000	
121	15425289.472	79.939	0.000	
122	15552507.816	114.198	0.000	
123	15680248.617	49.578	0.000	
124	15808511.875	56.464	0.000	
125	15937297.590	53.201	0.000	
126	16066605.763	51.284	0.000	
127	16196436.393	46.980	0.000	
128	16326789.480	81.187	0.000	
