#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.602,3.420)		
1	18639.485	12195.978	0.000	
2	18754.366	12224.037	0.000	
3	18869.600	12245.841	0.000	
4	18985.187	12267.404	0.000	
5	19101.127	12294.420	0.000	
6	19246.548	12289.475	0.000	
7	19363.282	12288.957	0.000	
8	19480.369	12303.670	0.000	
9	19597.809	12335.792	0.000	
10	19715.601	12337.096	0.000	
11	19863.338	12341.987	0.000	
12	19981.925	12357.554	0.000	
13	20100.865	12324.830	0.000	
14	20220.158	12335.660	0.000	
15	20369.770	12341.852	0.000	
16	20489.857	12370.482	0.000	
17	20610.297	12330.359	0.000	
18	20731.089	12353.940	0.000	
19	20882.576	12326.209	0.000	
20	21004.163	12360.417	0.000	
21	21126.103	12396.766	0.000	
22	21279.024	12390.153	0.000	
23	21401.758	12381.004	0.000	
24	21555.671	12323.599	0.000	
25	21679.199	12368.606	0.000	
26	21803.080	12331.223	0.000	
27	21958.428	12377.573	0.000	
28	22083.103	12352.816	0.000	
29	22239.443	12375.075	0.000	
30	22364.912	12418.854	0.000	
31	22522.245	12458.503	0.000	
32	22648.508	12460.207	0.000	
33	22806.833	12497.723	0.000	
34	22933.890	12495.775	0.000	
35	23093.208	12522.795	0.000	
36	23221.060	12493.551	0.000	
37	23381.370	12446.558	0.000	
38	23542.232	12456.423	0.000	
39	23671.319	12427.483	0.000	
40	23833.174	12423.154	0.000	
41	23963.055	12424.874	0.000	
42	24125.902	12436.245	0.000	
43	24289.301	12421.710	0.000	
44	24420.417	12353.830	0.000	
45	24584.808	12400.602	0.000	
46	24749.751	12441.331	0.000	
47	24882.103	12429.681	0.000	
48	25048.038	12441.029	0.000	
49	25214.525	12402.044	0.000	
50	25381.564	12406.990	0.000	
51	25515.591	12432.384	0.000	
52	25683.623	12368.191	0.000	
53	25852.205	12383.630	0.000	
54	26021.339	12432.340	0.000	
55	26191.025	12404.309	0.000	
56	26361.262	12396.484	0.000	
57	26497.848	12441.731	0.000	
58	26669.078	12371.449	0.000	
59	26840.859	12387.458	0.000	
60	27013.191	12389.674	0.000	
61	27186.075	12376.177	0.000	
62	27359.511	12398.353	0.000	
63	27533.498	12387.967	0.000	
