#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.575,3.437)		
1	18639.485	13513.950	0.000	
2	29845.511	13363.951	0.000	
3	41296.111	13217.832	0.000	
4	52656.270	13146.029	0.000	
5	64059.168	13053.597	0.000	
6	75420.707	12952.471	0.000	
7	86778.661	12883.732	0.000	
8	97944.429	12778.556	0.000	
9	109438.043	12650.051	0.000	
10	120837.908	12599.149	0.000	
11	132038.143	12487.449	0.000	
12	143336.815	12458.320	0.000	
13	154685.945	12410.407	0.000	
14	166039.212	12320.819	0.000	
15	177794.495	12262.619	0.000	
16	189037.469	12112.370	0.000	
17	200154.984	12001.990	0.000	
18	211590.143	12005.661	0.000	
19	222846.903	11897.798	0.000	
20	234395.388	11833.677	0.000	
21	245714.739	11781.104	0.000	
22	257300.999	11633.425	0.000	
23	268609.597	11567.459	0.000	
24	279605.791	11598.748	0.000	
25	291389.199	11473.709	0.000	
26	302837.593	11347.169	0.000	
27	313917.885	11300.981	0.000	
28	325197.255	11192.128	0.000	
29	336675.703	11089.894	0.000	
30	348353.231	11074.752	0.000	
31	359599.789	10986.463	0.000	
32	371025.021	10912.075	0.000	
33	381979.579	10867.857	0.000	
34	393752.234	10802.578	0.000	
35	405034.913	10696.053	0.000	
36	416476.965	10649.246	0.000	
37	427391.542	10617.715	0.000	
38	439142.965	10579.544	0.000	
39	450348.715	10484.621	0.000	
40	461695.639	10388.696	0.000	
41	473183.739	10316.566	0.000	
42	484082.047	10213.558	0.000	
43	495843.673	10168.920	0.000	
44	506998.412	10126.881	0.000	
45	518277.231	10057.701	0.000	
46	529680.129	9956.870	0.000	
47	541207.107	9921.680	0.000	
48	552858.164	9863.749	0.000	
49	563844.431	9815.278	0.000	
50	575735.375	9697.485	0.000	
51	586945.536	9649.269	0.000	
52	598263.784	9621.390	0.000	
53	609690.120	9554.967	0.000	
54	621224.542	9467.757	0.000	
55	632031.859	9394.922	0.000	
56	643774.735	9351.183	0.000	
57	654775.616	9334.030	0.000	
58	665869.694	9257.914	0.000	
59	677921.390	9222.336	0.000	
60	689209.032	9193.924	0.000	
61	700589.871	9100.556	0.000	
62	712063.908	9028.563	0.000	
63	722738.047	9000.081	0.000	
64	734391.310	8952.402	0.000	
65	746137.770	8880.358	0.000	
66	757063.376	8828.250	0.000	
67	768989.062	8797.241	0.000	
68	780080.107	8724.610	0.000	
69	791250.563	8643.316	0.000	
70	802500.430	8601.278	0.000	
71	813829.708	8514.878	0.000	
72	825238.396	8519.020	0.000	
73	836726.496	8423.501	0.000	
74	848294.006	8387.518	0.000	
75	859940.927	8323.249	0.000	
76	870687.031	8274.021	0.000	
77	882486.156	8264.904	0.000	
78	893371.781	8236.190	0.000	
79	905323.110	8166.855	0.000	
80	916348.256	8128.118	0.000	
81	927440.128	8064.905	0.000	
82	938598.728	8031.241	0.000	
83	950847.847	7950.540	0.000	
84	962145.967	7916.505	0.000	
85	973510.815	7874.078	0.000	
86	984942.389	7827.817	0.000	
87	995392.633	7773.457	0.000	
88	1006951.595	7747.995	0.000	
89	1018577.285	7699.917	0.000	
90	1030269.702	7603.817	0.000	
91	1040957.075	7608.140	0.000	
92	1052776.880	7546.717	0.000	
93	1063580.061	7490.048	0.000	
94	1075527.254	7465.186	0.000	
95	1086446.243	7444.924	0.000	
96	1098520.824	7367.836	0.000	
97	1109555.620	7329.822	0.000	
98	1120645.562	7304.639	0.000	
99	1131790.651	7258.220	0.000	
100	1144113.943	7213.651	0.000	
101	1155374.839	7143.129	0.000	
102	1166690.881	7130.118	0.000	
103	1178062.070	7065.814	0.000	
104	1189488.406	7059.116	0.000	
105	1200969.888	7003.084	0.000	
106	1211350.371	6963.344	0.000	
107	1222936.631	6939.676	0.000	
108	1234578.038	6893.843	0.000	
109	1246274.590	6822.656	0.000	
110	1256848.638	6816.033	0.000	
111	1268649.969	6759.576	0.000	
112	1280506.446	6750.655	0.000	
113	1291224.426	6686.895	0.000	
114	1303185.682	6643.359	0.000	
115	1313997.962	6620.705	0.000	
116	1326063.996	6578.031	0.000	
117	1336970.576	6520.000	0.000	
118	1347921.825	6519.679	0.000	
119	1360142.269	6465.100	0.000	
120	1371187.818	6448.041	0.000	
121	1382278.036	6407.447	0.000	
122	1393412.923	6338.779	0.000	
123	1404592.478	6321.145	0.000	
124	1417066.595	6256.214	0.000	
125	1428340.451	6265.001	0.000	
126	1439658.975	6234.945	0.000	
127	1451022.168	6197.136	0.000	
128	1462430.029	6159.016	0.000	
129	1473882.559	6092.346	0.000	
130	1484100.085	6083.269	0.000	
131	1495636.989	6057.402	0.000	
132	1507218.561	6042.977	0.000	
133	1518844.803	5982.919	0.000	
134	1530515.712	5950.881	0.000	
135	1540927.354	5896.150	0.000	
136	1552682.637	5919.016	0.000	
137	1564482.590	5859.469	0.000	
138	1575008.936	5802.517	0.000	
139	1586893.262	5827.257	0.000	
140	1598822.257	5815.441	0.000	
141	1609463.307	5754.522	0.000	
142	1621476.676	5708.816	0.000	
143	1632192.726	5683.864	0.000	
144	1644290.469	5645.304	0.000	
145	1655081.518	5615.239	0.000	
146	1665907.860	5567.119	0.000	
147	1678129.682	5521.547	0.000	
148	1689031.024	5525.363	0.000	
149	1699967.659	5484.623	0.000	
150	1712313.561	5450.613	0.000	
151	1723325.195	5460.677	0.000	
152	1734372.123	5391.410	0.000	
153	1745454.345	5386.687	0.000	
154	1757964.032	5357.234	0.000	
155	1769121.253	5277.659	0.000	
156	1780313.767	5292.115	0.000	
157	1791541.576	5285.015	0.000	
158	1802804.678	5217.052	0.000	
159	1814103.073	5205.626	0.000	
160	1825436.763	5192.448	0.000	
161	1836805.746	5144.976	0.000	
162	1848210.023	5112.248	0.000	
163	1859649.593	5099.888	0.000	
164	1871124.457	5086.283	0.000	
165	1882634.615	5063.040	0.000	
166	1894180.067	5021.287	0.000	
167	1905760.812	4972.304	0.000	
168	1915922.916	4996.871	0.000	
169	1927569.837	4930.936	0.000	
170	1939252.052	4900.976	0.000	
171	1950969.560	4901.154	0.000	
172	1962722.362	4891.129	0.000	
173	1973035.016	4827.477	0.000	
174	1984853.994	4821.338	0.000	
175	1996708.265	4788.559	0.000	
176	2007109.705	4770.849	0.000	
177	2019030.152	4742.065	0.000	
178	2030985.893	4748.981	0.000	
179	2041476.118	4687.919	0.000	
180	2053498.035	4664.353	0.000	
181	2064046.163	4644.090	0.000	
182	2076134.256	4610.714	0.000	
183	2086740.288	4603.187	0.000	
184	2098894.556	4584.525	0.000	
185	2109558.492	4545.104	0.000	
186	2121778.936	4522.386	0.000	
187	2132500.776	4475.154	0.000	
188	2143249.638	4477.214	0.000	
189	2155567.139	4448.763	0.000	
190	2166373.905	4441.316	0.000	
191	2178757.582	4418.065	0.000	
192	2189622.251	4385.125	0.000	
193	2200513.942	4367.792	0.000	
194	2211432.655	4338.820	0.000	
195	2223944.271	4343.281	0.000	
196	2234920.888	4276.702	0.000	
197	2245924.526	4279.945	0.000	
198	2256955.186	4259.762	0.000	
199	2269594.742	4231.502	0.000	
200	2280683.306	4236.198	0.000	
201	2291798.891	4189.994	0.000	
202	2302941.498	4177.978	0.000	
203	2314111.127	4144.997	0.000	
204	2325307.778	4120.839	0.000	
205	2336531.450	4108.235	0.000	
206	2349391.592	4079.261	0.000	
207	2360673.168	4086.637	0.000	
208	2371981.766	4074.365	0.000	
209	2383317.385	4023.469	0.000	
210	2394680.027	3999.792	0.000	
211	2406069.690	3990.104	0.000	
212	2417486.374	3953.808	0.000	
213	2428930.081	3953.252	0.000	
214	2438760.479	3911.904	0.000	
215	2450254.369	3918.303	0.000	
216	2461775.280	3887.340	0.000	
217	2473323.214	3886.871	0.000	
218	2484898.169	3867.401	0.000	
219	2496500.145	3857.481	0.000	
220	2508129.144	3839.338	0.000	
221	2519785.164	3798.920	0.000	
222	2529797.545	3793.199	0.000	
223	2541503.749	3753.212	0.000	
224	2553236.974	3749.320	0.000	
225	2564997.221	3735.250	0.000	
226	2576784.489	3713.981	0.000	
227	2586909.369	3710.544	0.000	
228	2598746.821	3668.604	0.000	
229	2610611.295	3664.947	0.000	
230	2620802.351	3629.920	0.000	
231	2632717.008	3636.492	0.000	
232	2644658.686	3596.250	0.000	
233	2654915.918	3589.861	0.000	
234	2666907.779	3566.798	0.000	
235	2678926.663	3554.488	0.000	
236	2689250.070	3544.996	0.000	
237	2701319.137	3510.985	0.000	
238	2711685.558	3486.865	0.000	
239	2723804.808	3482.677	0.000	
240	2735951.080	3464.422	0.000	
241	2746383.677	3453.270	0.000	
242	2758580.132	3418.703	0.000	
243	2769055.743	3408.597	0.000	
244	2781302.382	3378.510	0.000	
245	2791821.007	3384.532	0.000	
246	2804117.829	3362.037	0.000	
247	2814679.468	3356.084	0.000	
248	2825260.961	3325.379	0.000	
249	2837631.127	3318.298	0.000	
250	2848255.633	3314.350	0.000	
251	2860675.983	3296.025	0.000	
252	2871343.504	3277.987	0.000	
253	2882030.877	3239.262	0.000	
254	2894524.571	3252.887	0.000	
255	2905254.959	3213.630	0.000	
256	2917798.836	3218.224	0.000	
257	2928572.238	3154.197	0.000	
258	2939365.493	3174.145	0.000	
259	2950178.600	3148.378	0.000	
260	2962818.984	3153.330	0.000	
261	2973675.105	3127.102	0.000	
262	2984551.079	3093.894	0.000	
263	2997264.808	3107.005	0.000	
264	3008183.796	3117.802	0.000	
265	3019122.637	3070.553	0.000	
266	3030081.331	3062.141	0.000	
267	3042891.566	3052.684	0.000	
268	3053893.274	3037.863	0.000	
269	3064914.834	3016.570	0.000	
270	3075956.248	3040.853	0.000	
271	3087017.514	3003.294	0.000	
272	3098098.633	2971.866	0.000	
273	3111051.696	2944.845	0.000	
274	3122175.830	2953.212	0.000	
275	3133319.815	2940.473	0.000	
276	3144483.654	2889.426	0.000	
277	3155667.345	2903.306	0.000	
278	3166870.889	2897.639	0.000	
279	3178094.285	2883.171	0.000	
280	3189337.535	2862.445	0.000	
281	3200600.637	2876.931	0.000	
282	3211883.592	2834.552	0.000	
283	3223186.399	2821.213	0.000	
284	3234509.059	2818.310	0.000	
285	3245851.572	2808.965	0.000	
286	3257213.937	2791.482	0.000	
287	3268596.156	2788.601	0.000	
288	3279998.227	2767.019	0.000	
289	3291420.150	2753.805	0.000	
290	3302861.927	2738.548	0.000	
291	3314323.556	2732.066	0.000	
292	3325805.038	2716.489	0.000	
293	3337306.372	2710.397	0.000	
294	3348827.559	2684.127	0.000	
295	3360368.599	2676.189	0.000	
296	3371929.492	2677.067	0.000	
297	3383510.237	2648.556	0.000	
298	3395110.835	2633.595	0.000	
299	3406731.286	2640.784	0.000	
300	3416430.160	2628.261	0.000	
301	3428087.007	2603.186	0.000	
302	3439763.707	2586.949	0.000	
303	3451460.260	2582.093	0.000	
304	3463176.666	2569.991	0.000	
305	3474912.924	2549.368	0.000	
306	3484708.304	2548.373	0.000	
307	3496480.959	2531.920	0.000	
308	3508273.467	2522.663	0.000	
309	3520085.827	2520.519	0.000	
310	3529944.626	2494.927	0.000	
311	3541793.382	2497.194	0.000	
312	3553661.992	2473.008	0.000	
313	3565550.454	2474.986	0.000	
314	3575472.671	2459.122	0.000	
315	3587397.530	2452.843	0.000	
316	3599342.242	2433.462	0.000	
317	3611306.806	2419.311	0.000	
318	3621292.442	2414.954	0.000	
319	3633293.403	2410.948	0.000	
320	3645314.216	2390.242	0.000	
321	3655346.726	2375.847	0.000	
322	3667403.936	2361.289	0.000	
323	3679480.999	2358.961	0.000	
324	3689560.384	2344.111	0.000	
325	3701673.843	2341.388	0.000	
326	3711783.558	2325.205	0.000	
327	3723933.415	2310.949	0.000	
328	3736103.123	2298.083	0.000	
329	3746259.713	2298.146	0.000	
330	3758465.818	2292.010	0.000	
331	3768652.738	2286.764	0.000	
332	3780895.240	2272.159	0.000	
333	3793157.595	2255.273	0.000	
334	3803391.390	2250.915	0.000	
335	3815690.141	2238.811	0.000	
336	3825954.266	2227.720	0.000	
337	3838289.414	2225.123	0.000	
338	3848583.870	2202.832	0.000	
339	3860955.414	2195.598	0.000	
340	3871280.200	2183.030	0.000	
341	3883688.142	2184.890	0.000	
342	3894043.258	2177.053	0.000	
343	3906487.596	2154.154	0.000	
344	3916873.043	2154.881	0.000	
345	3929353.778	2138.952	0.000	
346	3939769.555	2118.714	0.000	
347	3952286.687	2115.301	0.000	
348	3962732.795	2116.194	0.000	
349	3973192.689	2095.786	0.000	
350	3985762.761	2086.235	0.000	
351	3996252.986	2081.766	0.000	
352	4008859.455	2071.834	0.000	
353	4019380.010	2063.154	0.000	
354	4032022.875	2065.364	0.000	
355	4042573.762	2052.272	0.000	
356	4053138.434	2039.042	0.000	
357	4065834.240	2021.537	0.000	
358	4076429.243	2019.175	0.000	
359	4087038.033	2010.227	0.000	
360	4099786.779	1993.738	0.000	
361	4110425.900	1998.388	0.000	
362	4121078.807	1971.995	0.000	
363	4133880.494	1958.513	0.000	
364	4144563.731	1966.210	0.000	
365	4155260.755	1965.612	0.000	
366	4168115.383	1943.566	0.000	
367	4178842.737	1932.437	0.000	
368	4189583.879	1933.566	0.000	
369	4202491.446	1905.839	0.000	
370	4213262.918	1905.317	0.000	
371	4224048.177	1898.285	0.000	
372	4234847.222	1889.589	0.000	
373	4247824.274	1889.925	0.000	
374	4258653.649	1871.669	0.000	
375	4269496.812	1863.851	0.000	
376	4280353.760	1862.867	0.000	
377	4293400.297	1856.135	0.000	
378	4304287.576	1849.037	0.000	
379	4315188.642	1832.551	0.000	
380	4326103.495	1829.069	0.000	
381	4337032.134	1820.675	0.000	
382	4350164.699	1812.330	0.000	
383	4361123.668	1803.006	0.000	
384	4372096.425	1793.751	0.000	
385	4383082.967	1778.723	0.000	
386	4394083.297	1775.535	0.000	
387	4405097.413	1766.618	0.000	
388	4418332.550	1762.321	0.000	
389	4429376.997	1759.039	0.000	
390	4440435.230	1749.016	0.000	
391	4451507.250	1740.732	0.000	
392	4462593.056	1737.729	0.000	
393	4473692.649	1726.355	0.000	
394	4484806.028	1724.048	0.000	
395	4498160.282	1710.131	0.000	
396	4509303.992	1708.478	0.000	
397	4520461.489	1706.569	0.000	
398	4531632.772	1697.433	0.000	
399	4542817.842	1690.757	0.000	
400	4554016.698	1676.974	0.000	
401	4565229.341	1666.540	0.000	
402	4576455.771	1662.319	0.000	
403	4587695.987	1661.945	0.000	
404	4598949.990	1639.561	0.000	
405	4610217.780	1641.789	0.000	
406	4621499.356	1633.512	0.000	
407	4632794.718	1632.386	0.000	
408	4644103.868	1619.063	0.000	
409	4655426.803	1610.172	0.000	
410	4666763.526	1605.054	0.000	
411	4678114.035	1593.986	0.000	
412	4689478.331	1583.221	0.000	
413	4700856.413	1583.346	0.000	
414	4712248.282	1581.462	0.000	
415	4723653.937	1572.722	0.000	
416	4735073.379	1564.946	0.000	
417	4746506.608	1558.739	0.000	
418	4757953.623	1544.270	0.000	
419	4769414.425	1542.675	0.000	
420	4780889.014	1537.278	0.000	
421	4792377.389	1533.069	0.000	
422	4803879.550	1522.703	0.000	
423	4815395.499	1519.043	0.000	
424	4826925.234	1502.905	0.000	
425	4838468.755	1509.451	0.000	
426	4850026.063	1488.904	0.000	
427	4861597.158	1491.375	0.000	
428	4873182.039	1479.203	0.000	
429	4884780.707	1475.630	0.000	
430	4894069.568	1469.728	0.000	
431	4905693.052	1465.109	0.000	
432	4917330.322	1464.716	0.000	
433	4928981.379	1447.670	0.000	
434	4940646.222	1452.696	0.000	
435	4952324.853	1446.463	0.000	
436	4964017.269	1432.329	0.000	
437	4975723.473	1424.435	0.000	
438	4985098.362	1418.919	0.000	
439	4996829.381	1412.919	0.000	
440	5008574.187	1411.618	0.000	
441	5020332.779	1401.028	0.000	
442	5032105.159	1385.983	0.000	
443	5043891.324	1389.898	0.000	
444	5053330.183	1383.526	0.000	
445	5065141.165	1386.666	0.000	
446	5076965.933	1371.194	0.000	
447	5088804.488	1377.486	0.000	
448	5100656.829	1366.874	0.000	
449	5110148.628	1353.427	0.000	
450	5122025.786	1350.861	0.000	
451	5133916.730	1346.630	0.000	
452	5145821.460	1337.947	0.000	
453	5155355.171	1333.807	0.000	
454	5167284.717	1320.697	0.000	
455	5179228.050	1308.515	0.000	
456	5191185.169	1320.540	0.000	
457	5200760.791	1311.736	0.000	
458	5212742.727	1303.275	0.000	
459	5224738.449	1295.425	0.000	
460	5236747.958	1297.765	0.000	
461	5246365.491	1288.957	0.000	
462	5258399.815	1281.346	0.000	
463	5270447.926	1270.508	0.000	
464	5282509.824	1269.819	0.000	
465	5292169.269	1272.648	0.000	
466	5304255.982	1256.678	0.000	
467	5316356.482	1248.298	0.000	
468	5326046.809	1252.919	0.000	
469	5338172.125	1245.747	0.000	
470	5350311.228	1244.419	0.000	
471	5360032.436	1238.079	0.000	
472	5372196.355	1225.546	0.000	
473	5384374.060	1225.099	0.000	
474	5394126.150	1214.490	0.000	
475	5406328.671	1214.327	0.000	
476	5418544.979	1205.852	0.000	
477	5428327.951	1196.863	0.000	
478	5440569.075	1202.685	0.000	
479	5452823.985	1193.501	0.000	
480	5462637.840	1182.912	0.000	
481	5474917.566	1183.135	0.000	
482	5487211.078	1178.612	0.000	
483	5497055.815	1172.278	0.000	
484	5509374.143	1169.482	0.000	
485	5519238.732	1154.505	0.000	
486	5531581.877	1167.694	0.000	
487	5543938.808	1155.540	0.000	
488	5553834.279	1143.389	0.000	
489	5566216.026	1146.672	0.000	
490	5576131.350	1133.993	0.000	
491	5588537.912	1136.685	0.000	
492	5600958.262	1132.388	0.000	
493	5610904.467	1118.909	0.000	
494	5623349.633	1116.447	0.000	
495	5633315.691	1119.123	0.000	
496	5645785.672	1108.917	0.000	
497	5655771.584	1102.666	0.000	
498	5668266.381	1096.279	0.000	
499	5678272.145	1095.350	0.000	
500	5690791.757	1096.225	0.000	
501	5703325.157	1083.386	0.000	
502	5713361.803	1082.386	0.000	
503	5725920.018	1079.837	0.000	
504	5735976.517	1073.076	0.000	
505	5748559.548	1068.781	0.000	
506	5758635.899	1059.671	0.000	
507	5771243.747	1062.974	0.000	
508	5781339.951	1054.542	0.000	
509	5793972.614	1043.534	0.000	
510	5804088.670	1044.404	0.000	
511	5816746.149	1041.399	0.000	
512	5826882.059	1043.401	0.000	
513	5839564.354	1034.263	0.000	
514	5849720.116	1022.881	0.000	
515	5862427.226	1029.398	0.000	
516	5872602.841	1015.776	0.000	
517	5882787.280	1019.656	0.000	
518	5895530.235	1008.254	0.000	
519	5905734.526	1007.700	0.000	
520	5918502.298	1007.835	0.000	
521	5928726.442	999.767	0.000	
522	5941519.029	996.074	0.000	
523	5951763.026	989.587	0.000	
524	5964580.429	988.445	0.000	
525	5974844.278	989.560	0.000	
526	5985116.951	976.287	0.000	
527	5997970.200	976.966	0.000	
528	6008262.725	972.531	0.000	
529	6021140.789	973.623	0.000	
530	6031453.167	956.655	0.000	
531	6044356.048	953.225	0.000	
532	6054688.278	951.509	0.000	
533	6065029.333	956.196	0.000	
534	6077968.058	951.762	0.000	
535	6088328.965	938.312	0.000	
536	6101292.506	939.678	0.000	
537	6111673.266	933.602	0.000	
538	6122062.849	926.166	0.000	
539	6135062.235	924.475	0.000	
540	6145471.671	921.808	0.000	
541	6155889.930	925.111	0.000	
542	6168925.162	917.614	0.000	
543	6179363.274	911.526	0.000	
544	6189810.209	906.044	0.000	
545	6202881.286	904.463	0.000	
546	6213348.074	907.463	0.000	
547	6223823.685	895.905	0.000	
548	6236930.607	900.477	0.000	
549	6247426.071	885.685	0.000	
550	6257930.359	884.863	0.000	
551	6271073.126	884.160	0.000	
552	6281597.266	876.938	0.000	
553	6292130.230	876.163	0.000	
554	6305308.842	867.278	0.000	
555	6315861.658	869.293	0.000	
556	6326423.298	862.789	0.000	
557	6339637.756	868.293	0.000	
558	6350219.248	859.642	0.000	
559	6360809.564	857.839	0.000	
560	6374059.867	854.043	0.000	
561	6384670.035	842.533	0.000	
562	6395289.027	845.555	0.000	
563	6405916.843	845.202	0.000	
564	6419214.020	833.874	0.000	
565	6429861.688	833.834	0.000	
566	6440518.180	830.388	0.000	
567	6451183.495	825.766	0.000	
568	6464527.546	820.212	0.000	
569	6475212.714	815.707	0.000	
570	6485906.705	816.350	0.000	
571	6496609.520	816.703	0.000	
572	6510000.446	807.949	0.000	
573	6520723.113	799.872	0.000	
574	6531454.604	799.185	0.000	
575	6542194.918	798.541	0.000	
576	6555632.718	793.527	0.000	
577	6566392.885	790.197	0.000	
578	6577161.875	791.731	0.000	
579	6587939.689	786.530	0.000	
580	6601424.364	782.572	0.000	
581	6612222.030	779.069	0.000	
582	6623028.520	768.793	0.000	
583	6633843.833	773.533	0.000	
584	6644667.970	773.540	0.000	
585	6658210.548	764.786	0.000	
586	6669054.538	764.062	0.000	
587	6679907.351	761.847	0.000	
588	6690768.987	761.706	0.000	
589	6701639.446	753.971	0.000	
590	6715239.929	747.660	0.000	
591	6726130.241	748.491	0.000	
592	6737029.377	750.846	0.000	
593	6747937.336	740.226	0.000	
594	6758854.119	737.523	0.000	
595	6769779.725	738.384	0.000	
596	6783449.140	735.241	0.000	
597	6794394.599	733.986	0.000	
598	6805348.881	720.631	0.000	
599	6816311.986	724.519	0.000	
600	6827283.915	717.108	0.000	
601	6838264.668	719.594	0.000	
602	6849254.244	710.863	0.000	
603	6863003.621	708.588	0.000	
604	6874013.050	712.258	0.000	
605	6885031.302	707.767	0.000	
606	6896058.377	702.651	0.000	
607	6907094.276	702.267	0.000	
608	6918138.998	699.346	0.000	
609	6929192.544	701.112	0.000	
610	6940254.913	690.578	0.000	
611	6951326.106	690.578	0.000	
612	6965177.504	684.800	0.000	
613	6976268.549	684.513	0.000	
614	6987368.418	679.050	0.000	
615	6998477.110	683.442	0.000	
616	7009594.626	678.143	0.000	
617	7020720.965	677.708	0.000	
618	7031856.127	675.020	0.000	
619	7043000.113	666.463	0.000	
620	7054152.922	668.399	0.000	
621	7065314.555	662.787	0.000	
622	7076485.011	661.543	0.000	
623	7090460.489	655.970	0.000	
624	7101650.797	653.388	0.000	
625	7112849.930	654.757	0.000	
626	7124057.885	649.167	0.000	
627	7135274.664	647.254	0.000	
628	7146500.267	642.962	0.000	
629	7157734.692	648.238	0.000	
630	7168977.942	641.606	0.000	
631	7180230.015	636.465	0.000	
632	7191490.911	632.884	0.000	
633	7202760.630	628.973	0.000	
634	7214039.173	627.677	0.000	
635	7225326.540	629.115	0.000	
636	7236622.730	627.202	0.000	
637	7247927.743	622.457	0.000	
638	7259241.580	616.488	0.000	
639	7270564.240	611.709	0.000	
640	7281895.723	614.467	0.000	
