#	X(I)	Y(X)	Y'(X)	Y1(X)	Y1'(X)	
Model	ARR_DATA(I)	Integral(3.588,3.430)		Integral(3.384,3.342)		
1	81908.489	45524.899	0.000	237.606	0.000	
2	483967.699	44581.982	0.000	196.687	0.000	
3	885756.708	43601.882	0.000	183.647	0.000	
4	1287951.624	42563.845	0.000	165.492	0.000	
5	1689981.754	41620.527	0.000	155.384	0.000	
6	2092054.292	40612.752	0.000	139.772	0.000	
7	2495088.891	39638.177	0.000	130.912	0.000	
8	2896017.619	38771.208	0.000	118.496	0.000	
9	3298755.360	37928.680	0.000	123.531	0.000	
10	3702244.334	37076.666	0.000	114.756	0.000	
11	4102209.788	36358.577	0.000	111.360	0.000	
12	4508651.587	35539.780	0.000	108.657	0.000	
13	4909867.478	34867.785	0.000	103.702	0.000	
14	5312948.121	34125.524	0.000	108.453	0.000	
15	5716126.908	33411.287	0.000	97.258	0.000	
16	6117702.664	32730.107	0.000	101.301	0.000	
17	6516039.642	32050.694	0.000	97.552	0.000	
18	6921146.187	31426.411	0.000	99.211	0.000	
19	7320588.202	30818.989	0.000	97.100	0.000	
20	7725115.572	30120.228	0.000	91.338	0.000	
21	8127963.575	29564.352	0.000	92.099	0.000	
22	8528187.114	28941.596	0.000	95.159	0.000	
23	8931448.294	28320.648	0.000	98.068	0.000	
24	9337296.377	27802.166	0.000	92.734	0.000	
25	9738416.548	27251.979	0.000	92.839	0.000	
26	10140960.423	26708.107	0.000	93.347	0.000	
27	10544506.345	26197.066	0.000	89.499	0.000	
28	10941356.611	25667.911	0.000	92.150	0.000	
29	11345537.444	25217.367	0.000	82.650	0.000	
30	11749501.390	24589.288	0.000	84.247	0.000	
31	12152855.869	24183.388	0.000	85.239	0.000	
32	12555215.571	23698.542	0.000	83.895	0.000	
33	12956202.458	23210.583	0.000	85.858	0.000	
34	13355445.761	22744.779	0.000	82.248	0.000	
35	13760747.384	22236.292	0.000	80.698	0.000	
36	14163820.756	21878.114	0.000	81.305	0.000	
37	14564309.649	21389.348	0.000	82.274	0.000	
38	14970381.891	21006.994	0.000	81.475	0.000	
39	15373404.373	20621.648	0.000	80.094	0.000	
40	15773035.408	20152.657	0.000	78.948	0.000	
41	16177794.206	19840.073	0.000	76.967	0.000	
42	16578715.663	19444.099	0.000	74.813	0.000	
43	16984544.359	19081.489	0.000	73.690	0.000	
44	17386099.517	18684.320	0.000	75.038	0.000	
45	17783061.256	18292.632	0.000	73.882	0.000	
46	18184503.729	17952.216	0.000	72.343	0.000	
47	18590426.935	17626.516	0.000	73.583	0.000	
48	18991235.708	17277.954	0.000	69.757	0.000	
49	19396319.231	16919.519	0.000	69.191	0.000	
50	19795881.201	16606.663	0.000	70.299	0.000	
51	20199516.786	16261.513	0.000	70.978	0.000	
52	20597233.392	15947.798	0.000	66.338	0.000	
53	21008916.849	15641.208	0.000	67.937	0.000	
54	21404298.579	15349.068	0.000	65.766	0.000	
55	21813647.159	15042.104	0.000	70.169	0.000	
56	22216495.162	14772.246	0.000	67.383	0.000	
57	22612559.058	14495.226	0.000	67.494	0.000	
58	23012122.240	14188.081	0.000	67.121	0.000	
59	23415184.708	13927.979	0.000	66.311	0.000	
60	23821746.461	13677.647	0.000	63.082	0.000	
61	24220971.589	13424.219	0.000	63.029	0.000	
62	24623514.253	13144.170	0.000	61.711	0.000	
63	25029374.453	12907.226	0.000	63.878	0.000	
64	25427449.711	12629.348	0.000	62.219	0.000	
65	25828665.603	12402.493	0.000	61.121	0.000	
66	26233022.128	12178.829	0.000	59.963	0.000	
67	26640519.286	11943.552	0.000	55.699	0.000	
68	27039708.063	11682.919	0.000	57.495	0.000	
69	27441865.418	11468.894	0.000	59.205	0.000	
70	27846991.349	11235.173	0.000	60.046	0.000	
71	28243384.818	11052.495	0.000	57.181	0.000	
72	28654363.087	10871.031	0.000	57.043	0.000	
73	29056441.683	10653.677	0.000	58.901	0.000	
74	29449373.428	10451.323	0.000	58.479	0.000	
75	29856972.366	10316.294	0.000	58.533	0.000	
76	30255262.089	10089.173	0.000	62.647	0.000	
77	30656190.816	9863.836	0.000	54.481	0.000	
78	31059758.547	9692.205	0.000	54.450	0.000	
79	31465965.283	9500.812	0.000	50.270	0.000	
80	31874811.023	9318.446	0.000	51.045	0.000	
81	32273787.760	9162.629	0.000	54.116	0.000	
82	32675245.984	8965.429	0.000	51.952	0.000	
83	33079185.697	8814.662	0.000	47.307	0.000	
84	33472868.673	8674.378	0.000	49.756	0.000	
85	33881693.815	8496.206	0.000	48.056	0.000	
86	34280109.551	8357.305	0.000	49.584	0.000	
87	34680854.105	8214.096	0.000	54.897	0.000	
88	35083927.478	8008.813	0.000	47.809	0.000	
89	35489329.669	7876.754	0.000	51.915	0.000	
90	35897060.678	7762.187	0.000	48.303	0.000	
91	36293856.419	7628.907	0.000	59.717	0.000	
92	36692833.155	7470.668	0.000	53.579	0.000	
93	37093990.887	7344.030	0.000	52.501	0.000	
94	37497329.614	7197.633	0.000	54.473	0.000	
95	37902849.337	7077.145	0.000	55.501	0.000	
96	38310550.054	6910.221	0.000	48.610	0.000	
97	38706733.905	6825.792	0.000	57.263	0.000	
98	39118723.913	6700.771	0.000	50.937	0.000	
99	39519054.079	6590.301	0.000	49.649	0.000	
100	39921422.263	6419.016	0.000	42.931	0.000	
101	40325828.466	6354.451	0.000	55.671	0.000	
102	40718223.443	6224.896	0.000	56.916	0.000	
103	41126635.408	6088.019	0.000	42.801	0.000	
104	41522898.017	5974.833	0.000	46.676	0.000	
105	41935315.742	5877.276	0.000	52.972	0.000	
106	42335445.983	5788.703	0.000	54.629	0.000	
107	42737476.113	5686.588	0.000	47.889	0.000	
108	43141406.132	5558.454	0.000	46.851	0.000	
109	43532709.400	5497.620	0.000	56.107	0.000	
110	43940371.344	5380.563	0.000	51.968	0.000	
111	44349933.178	5290.047	0.000	49.058	0.000	
112	44746667.124	5175.198	0.000	50.069	0.000	
113	45145167.677	5083.154	0.000	45.733	0.000	
114	45545434.835	5020.083	0.000	47.687	0.000	
115	45947468.600	4921.524	0.000	55.451	0.000	
116	46351268.971	4840.341	0.000	52.379	0.000	
117	46756835.948	4767.554	0.000	49.112	0.000	
118	47164169.532	4656.771	0.000	47.009	0.000	
119	47558086.359	4572.138	0.000	52.658	0.000	
120	47968887.725	4474.378	0.000	54.207	0.000	
121	48366143.899	4416.877	0.000	60.826	0.000	
122	48765038.242	4314.397	0.000	46.665	0.000	
123	49165570.755	4270.247	0.000	48.924	0.000	
124	49567741.438	4156.220	0.000	47.156	0.000	
125	49971550.291	4067.765	0.000	46.009	0.000	
126	50376997.313	3994.314	0.000	44.459	0.000	
127	50784082.505	3960.231	0.000	49.826	0.000	
128	51192805.867	3875.742	0.000	45.628	0.000	
