#	X(I)	Y(X)	Y'(X)	
Model	ARR_DATA(I)	Integral(3.557,3.425)		
1	39171.510	43312.089	0.000	
2	231450.316	41270.024	0.000	
3	423599.902	39550.946	0.000	
4	615943.608	37846.726	0.000	
5	808208.507	36240.667	0.000	
6	1000493.686	34710.537	0.000	
7	1193238.958	33278.435	0.000	
8	1384977.127	31913.319	0.000	
9	1577580.431	30536.861	0.000	
10	1770543.000	29234.271	0.000	
11	1961820.498	28080.822	0.000	
12	2156195.211	26870.956	0.000	
13	2348070.713	25754.625	0.000	
14	2540838.004	24675.248	0.000	
15	2733652.231	23654.742	0.000	
16	2925699.832	22671.638	0.000	
17	3116198.536	21754.525	0.000	
18	3309934.684	20866.984	0.000	
19	3500961.856	20018.990	0.000	
20	3694421.022	19215.810	0.000	
21	3887077.057	18428.874	0.000	
22	4078477.980	17658.121	0.000	
23	4271331.611	16927.190	0.000	
24	4465422.388	16249.161	0.000	
25	4657252.113	15584.199	0.000	
26	4849762.703	14939.687	0.000	
27	5042752.506	14339.704	0.000	
28	5232540.212	13739.475	0.000	
29	5425833.653	13204.717	0.000	
30	5619023.370	12651.118	0.000	
31	5811921.619	12128.851	0.000	
32	6004344.131	11621.789	0.000	
33	6196110.115	11171.611	0.000	
34	6387042.255	10717.002	0.000	
35	6580871.696	10264.883	0.000	
36	6773635.510	9865.274	0.000	
37	6965163.336	9428.415	0.000	
38	7159361.314	9070.112	0.000	
39	7352100.790	8699.132	0.000	
40	7543218.358	8332.478	0.000	
41	7736788.201	7983.691	0.000	
42	7928522.894	7653.615	0.000	
43	8122604.400	7327.894	0.000	
44	8314642.151	7026.459	0.000	
45	8504483.167	6726.681	0.000	
46	8696467.028	6460.871	0.000	
47	8890593.732	6209.550	0.000	
48	9082274.535	5914.348	0.000	
49	9275999.674	5689.331	0.000	
50	9467084.212	5441.961	0.000	
51	9660116.895	5221.299	0.000	
52	9850318.916	5010.583	0.000	
53	10047200.374	4831.501	0.000	
54	10236285.775	4619.186	0.000	
55	10432050.613	4418.377	0.000	
56	10624706.648	4261.730	0.000	
57	10814118.284	4110.318	0.000	
58	11005203.402	3945.187	0.000	
59	11197962.001	3799.423	0.000	
60	11392394.081	3637.642	0.000	
61	11583317.529	3488.221	0.000	
62	11775827.540	3352.593	0.000	
63	11969924.112	3213.150	0.000	
64	12160297.653	3099.578	0.000	
65	12352173.154	2971.797	0.000	
66	12545550.617	2809.935	0.000	
67	12740430.040	2709.339	0.000	
68	12931336.104	2591.806	0.000	
69	13123661.847	2464.404	0.000	
70	13317407.266	2376.398	0.000	
71	13506976.516	2254.428	0.000	
72	13703520.728	2186.931	0.000	
73	13895808.806	2071.708	0.000	
74	14083722.538	1975.626	0.000	
75	14278650.636	1892.988	0.000	
76	14469126.741	1857.239	0.000	
77	14660864.910	1762.696	0.000	
78	14853865.144	1701.884	0.000	
79	15048127.442	1638.514	0.000	
80	15243651.804	1581.394	0.000	
81	15434456.463	1525.255	0.000	
82	15626447.857	1493.225	0.000	
83	15819625.985	1399.781	0.000	
84	16007898.982	1360.392	0.000	
85	16203413.494	1297.629	0.000	
86	16393949.863	1204.528	0.000	
87	16585599.954	1178.467	0.000	
88	16778363.768	1118.914	0.000	
89	16972241.305	1046.204	0.000	
90	17167232.564	1024.714	0.000	
91	17356994.195	958.291	0.000	
92	17547798.854	902.895	0.000	
93	17739646.541	895.862	0.000	
94	17932537.257	848.132	0.000	
95	18126471.001	784.493	0.000	
96	18321447.774	771.709	0.000	
97	18510916.777	750.950	0.000	
98	18707944.839	737.244	0.000	
99	18899396.755	699.809	0.000	
100	19091823.323	675.853	0.000	
101	19285224.543	633.358	0.000	
102	19472881.574	611.857	0.000	
103	19668198.490	590.763	0.000	
104	19857705.158	542.165	0.000	
105	20054937.769	555.075	0.000	
106	20246294.074	517.403	0.000	
107	20438558.973	509.970	0.000	
108	20631732.466	518.667	0.000	
109	20818867.403	474.751	0.000	
110	21013825.633	456.120	0.000	
111	21209692.456	426.241	0.000	
112	21399424.535	387.978	0.000	
113	21590001.466	427.165	0.000	
114	21781423.250	417.912	0.000	
115	21973689.887	334.902	0.000	
116	22166801.377	395.591	0.000	
117	22360757.720	319.913	0.000	
118	22555558.916	314.462	0.000	
119	22743943.750	300.083	0.000	
120	22940403.361	281.408	0.000	
121	23130385.186	227.408	0.000	
122	23321150.442	247.724	0.000	
123	23512699.128	235.593	0.000	
124	23705031.244	239.472	0.000	
125	23898146.791	216.593	0.000	
126	24092045.767	214.679	0.000	
127	24286728.174	200.879	0.000	
128	24482194.011	183.467	0.000	
